category,name,domain,target_url,submission_url,contact_url,email,phone,region,free_or_paid,link_type,nofollow_or_follow,requirements,recommended_landing_page,recommended_anchor,priority,status,verified_at,notes
maps,2ГИС,2gis.kz,https://2gis.kz/almaty,http://reklama.2gis.ru/add-info/,https://help.2gis.ru/question/kak-dobavit-kompaniyu-v-2gis,,,Алматы,free,profile,nofollow,"указать NAP из docs/ZAKONEXPERT-NAP.md, точный офис адреса пока не подтверждён — уточнить перед подачей",/contact,ZakonExpert,high,research,2026-07-15,"Проверено WebFetch. Модерация до 3 рабочих дней. Крупнейший локальный справочник KZ."
maps,Яндекс Бизнес Казахстан,business.yandex.kz,https://business.yandex.kz/,https://business.yandex.kz/,https://yandex.ru/support/business-priority/,,,Казахстан,free,profile,nofollow,"верификация по SMS/звонку или письмом на юр.адрес",/contact,ZakonExpert,high,research,2026-07-15,"Проверено WebFetch. Официальный сервис ТОО Яндекс Казахстан, регистрация бесплатная."
maps,Google Business Profile,business.google.com,https://business.google.com/,https://business.google.com/create,,,,Казахстан,free,profile,nofollow,"верификация звонком/письмом/видео",/contact,ZakonExpert,high,research,2026-07-15,"Общеизвестный официальный сервис Google, отдельная проверка через fetch не требуется."
directory,BiznesInfo.kz,biznesinfo.kz,https://biznesinfo.kz/company,https://biznesinfo.kz/company,,,,Казахстан,free,profile,nofollow,"добавление за один клик по данным поиска",/,ZakonExpert,medium,research,2026-07-15,"Домен подтверждён через WebSearch; прямой WebFetch не прошёл (ошибка TLS-сертификата) — перепроверить вручную перед подачей."
directory,Flagma.kz,flagma.kz,https://flagma.kz/companies/,https://flagma.kz/login,,,,Казахстан,free,profile,nofollow,"требуется регистрация личного кабинета перед добавлением компании",/,ZakonExpert,medium,research,2026-07-15,"Проверено WebFetch. 40 661 компания в каталоге на момент проверки."
directory,Контакт Plus (kps.kz),kps.kz,https://www.kps.kz/,,,,,Казахстан,free,profile,nofollow,,/,ZakonExpert,low,research,,"WebFetch не прошёл (таймаут DNS) — требуется ручная проверка доступности домена перед использованием."
regional_directory,BizGid.kz — Астана,bizgid.kz,https://bizgid.kz/astana/,https://bizgid.kz/astana/,,,,Астана,free,profile+minisite,nofollow,"бесплатная регистрация + мини-сайт компании, есть категория Юридические услуги",/snyatie-aresta-astana,ZakonExpert — Астана,medium,research,2026-07-15,"Проверено WebFetch. Точный URL формы регистрации не найден в контенте страницы — найти при заходе на сайт."
regional_directory,BizGid.kz — Шымкент,bizgid.kz,https://bizgid.kz/shimkent/,https://bizgid.kz/shimkent/,,,,Шымкент,free,profile+minisite,nofollow,аналогично Астане,/snyatie-aresta-shymkent,ZakonExpert — Шымкент,medium,research,2026-07-15,"Тот же сервис, что и bizgid.kz/astana — региональный раздел Шымкента, отдельно не фетчился."
regional_directory,inAstana.kz,inastana.kz,https://www.inastana.kz/catalog,https://www.inastana.kz/catalog,,,,Астана,unknown,profile,nofollow,"есть кнопка «Добавить предприятие»; платность не указана на странице — уточнить",/snyatie-aresta-astana,ZakonExpert — Астана,medium,research,2026-07-15,"Проверено WebFetch. Есть готовая категория «Юридические услуги»."
regional_directory,inShymkent.kz,inshymkent.kz,https://www.inshymkent.kz/catalog,https://www.inshymkent.kz/catalog,,,,Шымкент,unknown,profile,nofollow,"аналогичен inAstana.kz, отдельно не фетчился",/snyatie-aresta-shymkent,ZakonExpert — Шымкент,low,research,,"Найден через WebSearch, не проверен WebFetch — проверить вручную перед подачей."
regional_directory,TINFO — Талдыкорган,tinfo.kz,https://www.tinfo.kz/catalog-list/,,https://www.tinfo.kz/,,,Талдыкорган,unknown,profile,nofollow,"формы добавления в контенте не найдено, есть контактная ссылка «Связаться с TINFO»",/snyatie-aresta-taldykorgan,ZakonExpert — Талдыкорган,medium,research,2026-07-15,"Проверено WebFetch. Юридической категории в списке нет явно — уточнить, куда добавлять."
